index,time_s,qref1,qref2,qref3,qref4,qref5,qref6,qm1,qm2,qm3,qm4,qm5,qm6,qdotm1,qdotm2,qdotm3,qdotm4,qdotm5,qdotm6,qddotm1,qddotm2,qddotm3,qddotm4,qddotm5,qddotm6,qc1,qc2,qc3,qc4,qc5,qc6,tau_m1,tau_m2,tau_m3,tau_m4,tau_m5,tau_m6,tau_filtered_m1,tau_filtered_m2,tau_filtered_m3,tau_filtered_m4,tau_filtered_m5,tau_filtered_m6,motor_tau1,motor_tau2,motor_tau3,motor_tau4,motor_tau5,motor_tau6,motor_tau_filtered1,motor_tau_filtered2,motor_tau_filtered3,motor_tau_filtered4,motor_tau_filtered5,motor_tau_filtered6
10,0.01,1.50933e-07,-1.75328e-08,0.000479574,2.15121e-07,4.2342e-08,-5.63581e-08,1.79763e-06,2.59658e-06,0.000479369,3.1159e-06,4.79369e-07,-4.79369e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,6.91449e-08,-7.99117e-09,0.000479493,9.83716e-08,1.93823e-08,-2.57771e-08,-10.6507,0.969066,-2.94897,1.88386,1.6038,-0.14751,-10.9174,1.02903,-2.97577,1.87107,1.5504,-0.0716801,-0.04599,0.00126,0.01595,-0.0082,-0.0156,0.0162,-0.0453511,0.0010329,0.0156462,-0.00821493,-0.0158322,0.016176
11,0.011,2.00799e-07,-2.3393e-08,0.000479624,2.86491e-07,5.63566e-08,-7.50468e-08,1.5979e-06,2.59658e-06,0.000479569,2.87621e-06,2.39684e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,9.82734e-08,-1.13885e-08,0.000479522,1.39948e-07,2.7559e-08,-3.66675e-08,-11.2374,1.11288,-2.97314,1.85349,1.59227,-0.0461284,-11.0409,1.06139,-2.97476,1.86429,1.56656,-0.0618205,-0.04599,0.00252,0.01595,-0.0082,-0.0162,0.0164,-0.0455977,0.00160673,0.0157634,-0.00820917,-0.0159741,0.0162624
12,0.012,2.60572e-07,-3.04443e-08,0.000479684,3.72157e-07,7.31654e-08,-9.74757e-08,1.5979e-06,2.39684e-06,0.000479569,2.87621e-06,2.39684e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.34859e-07,-1.56711e-08,0.000479558,1.92236e-07,3.78349e-08,-5.03619e-08,-11.2374,0.969066,-2.99731,1.87373,1.53466,-0.0461284,-11.1167,1.02576,-2.98346,1.86793,1.55425,-0.0557654,-0.04473,0.00252,0.01705,-0.008,-0.016,0.0162,-0.0452629,0.00195913,0.0162599,-0.00812846,-0.0159841,0.0162383
13,0.013,3.31142e-07,-3.88012e-08,0.000479755,4.73436e-07,9.30223e-08,-1.23988e-07,1.39816e-06,2.39684e-06,0.000479569,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.79793e-07,-2.09501e-08,0.000479603,2.56539e-07,5.04625e-08,-6.72003e-08,-11.1885,1.16081,-2.94897,1.83324,1.56923,-0.0911867,-11.1444,1.07787,-2.97015,1.85454,1.56003,-0.0694334,-0.0441,0.00063,0.01595,-0.0086,-0.0158,0.0162,-0.0448141,0.00144626,0.0161403,-0.00831041,-0.0159131,0.0162236
14,0.014,4.13397e-07,-4.85791e-08,0.000479837,5.91649e-07,1.16181e-07,-1.54929e-07,1.39816e-06,2.39684e-06,0.000479369,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,2.33964e-07,-2.73376e-08,0.000479658,3.34164e-07,6.56949e-08,-8.75241e-08,-11.2374,0.921129,-2.97314,1.88386,1.54618,-0.00107013,-11.1803,1.01739,-2.9713,1.86586,1.55469,-0.0430541,-0.04536,0.00315,0.01595,-0.0082,-0.016,0.0162,-0.0450248,0.00210368,0.0160669,-0.00826781,-0.0159466,0.0162145
15,0.015,5.08224e-07,-5.98946e-08,0.000479933,7.28119e-07,1.42896e-07,-1.90642e-07,1.39816e-06,2.39684e-06,0.000479369,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,2.98263e-07,-3.49473e-08,0.000479722,4.26423e-07,8.37857e-08,-1.11676e-07,-10.6996,1.06494,-3.02148,1.83324,1.62684,-0.0461284,-10.9948,1.03574,-2.99067,1.85327,1.58253,-0.0442404,-0.04536,0.00252,0.01485,-0.0084,-0.016,0.0162,-0.0451541,0.00226433,0.0155973,-0.00831882,-0.0159672,0.0162089
16,0.016,6.16508e-07,-7.28652e-08,0.000480041,8.84172e-07,1.73421e-07,-2.31474e-07,1.39816e-06,2.19711e-06,0.000479569,3.1159e-06,2.39684e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,3.73578e-07,-4.38936e-08,0.000479798,5.34634e-07,1.04988e-07,-1.4e-07,-11.0907,1.16081,-2.94897,1.81299,1.63837,-0.12498,-11.0318,1.084,-2.97458,1.83773,1.60408,-0.0753955,-0.04536,0,0.01595,-0.0084,-0.016,0.0162,-0.0452336,0.00139059,0.0157334,-0.00835014,-0.0159799,0.0162055
17,0.017,7.39132e-07,-8.76094e-08,0.000480165,1.06114e-06,2.08009e-07,-2.7777e-07,1.39816e-06,2.19711e-06,0.000479569,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,4.60797e-07,-5.42923e-08,0.000479885,6.60115e-07,1.29557e-07,-1.72839e-07,-10.9929,1.20875,-2.97314,1.83324,1.52314,-0.102451,-11.0168,1.13214,-2.97402,1.836,1.57284,-0.0858355,-0.04536,0.00315,0.0165,-0.0082,-0.0162,0.0162,-0.0452824,0.00206949,0.0160292,-0.00829221,-0.0160648,0.0162033
18,0.018,8.76979e-07,-1.04247e-07,0.000480303,1.26034e-06,2.46915e-07,-3.29877e-07,1.39816e-06,2.19711e-06,0.000479569,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,5.60806e-07,-6.626e-08,0.000479986,8.04192e-07,1.57744e-07,-2.10538e-07,-11.0418,1.06494,-2.90062,1.91423,1.56923,-0.0235993,-11.0264,1.10621,-2.9457,1.86618,1.57145,-0.0618204,-0.04536,0.00126,0.0154,-0.0082,-0.0156,0.0162,-0.0453123,0.00175713,0.0157864,-0.00825663,-0.0158855,0.0162021
19,0.019,1.03093e-06,-1.22899e-07,0.000480458,1.48313e-06,2.90392e-07,-3.88143e-07,1.39816e-06,2.19711e-06,0.000479569,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,6.74489e-07,-7.99146e-08,0.0004801,9.68188e-07,1.89805e-07,-2.53444e-07,-11.2862,1.06494,-3.06983,1.82312,1.58075,-0.0235993,-11.1267,1.09028,-2.9936,1.84956,1.57504,-0.047072,-0.04473,0.00189,0.0165,-0.0084,-0.016,0.0162,-0.0450876,0.0018084,0.0160618,-0.00831195,-0.0159297,0.0162013
