index,time_s,qref1,qref2,qref3,qref4,qref5,qref6,qm1,qm2,qm3,qm4,qm5,qm6,qdotm1,qdotm2,qdotm3,qdotm4,qdotm5,qdotm6,qddotm1,qddotm2,qddotm3,qddotm4,qddotm5,qddotm6,qc1,qc2,qc3,qc4,qc5,qc6,tau_m1,tau_m2,tau_m3,tau_m4,tau_m5,tau_m6,tau_filtered_m1,tau_filtered_m2,tau_filtered_m3,tau_filtered_m4,tau_filtered_m5,tau_filtered_m6,motor_tau1,motor_tau2,motor_tau3,motor_tau4,motor_tau5,motor_tau6,motor_tau_filtered1,motor_tau_filtered2,motor_tau_filtered3,motor_tau_filtered4,motor_tau_filtered5,motor_tau_filtered6
4559,4.559,-0.245527,1.82771,-0.644534,0.596449,0.132259,0.314175,-0.260481,1.8339,-0.647752,0.611944,0.132924,0.315387,1.32732,-0.519235,0.253073,-1.40743,-0.0649262,-0.0984366,3.3477,-27.0226,-11.1561,-13.2238,0.106141,-0.468852,-0.255683,1.83176,-0.646668,0.607171,0.132745,0.314978,-13.6818,-48.4538,16.8477,4.45526,2.0071,-0.327743,-13.8176,-47.9935,17.3623,4.26709,1.99566,-0.25585,0.04221,0.4851,-0.20845,-0.0144,0.005,-0.0186,0.0664529,0.518094,-0.183948,-0.0138509,0.0061427,-0.0201924
4560,4.56,-0.244226,1.82717,-0.644255,0.595072,0.132196,0.314069,-0.25916,1.83338,-0.647487,0.610552,0.132859,0.315287,1.31598,-0.524471,0.267908,-1.39277,-0.0638791,-0.0984366,-9.32734,-8.22734,11.2666,10.8321,0.917988,-0.0643746,-0.254366,1.83124,-0.646395,0.605784,0.132682,0.314876,-12.9974,-49.7002,16.0259,4.26291,2.08777,-0.203832,-13.5011,-48.652,16.8466,4.26548,2.0312,-0.235778,0.05292,0.37989,-0.2046,-0.0196,0.005,-0.0194,0.061231,0.464765,-0.191917,-0.0160693,0.00570177,-0.0198866
4561,4.561,-0.242926,1.82663,-0.643975,0.593696,0.132133,0.313963,-0.257836,1.83288,-0.647211,0.609155,0.132795,0.315189,1.32121,-0.481711,0.275762,-1.38963,-0.0607375,-0.095295,3.2364,35.7598,8.32255,4.19752,2.83629,2.70141,-0.253052,1.83073,-0.646121,0.604398,0.13262,0.314773,-12.6062,-50.5151,15.1557,4.01995,2.0071,-0.260155,-13.1558,-49.3709,16.1941,4.17073,2.0219,-0.245184,0.07875,0.59724,-0.1397,-0.011,0.0068,-0.0208,0.067991,0.515883,-0.171768,-0.0141132,0.00612554,-0.0202391
4562,4.562,-0.241629,1.82609,-0.643695,0.592322,0.13207,0.313855,-0.256515,1.83236,-0.646943,0.607761,0.132732,0.315091,1.32558,-0.527962,0.267908,-1.38335,-0.0617847,-0.0994838,4.20859,-34.9909,-5.6329,5.99682,-0.513985,-3.24275,-0.25174,1.83021,-0.645847,0.603013,0.132557,0.31467,-12.264,-51.4259,14.3822,3.73648,1.99558,-0.192568,-12.8117,-50.1639,15.495,4.00317,2.01175,-0.224881,0.09702,0.59346,-0.1771,-0.0056,0.008,-0.026,0.0791924,0.545818,-0.173826,-0.0108282,0.00684884,-0.022462
4563,4.563,-0.240333,1.82555,-0.643413,0.590948,0.132006,0.313748,-0.2552,1.83184,-0.646667,0.606367,0.132669,0.314995,1.31511,-0.533198,0.281871,-1.39906,-0.0628319,-0.095295,-8.4563,-9.32141,11.2721,-12.7278,-0.973986,3.16842,-0.250429,1.82968,-0.645571,0.601629,0.132495,0.314567,-12.3129,-52.3367,13.7296,3.43277,1.84578,-0.203832,-12.6192,-51.0023,14.8137,3.78307,1.94771,-0.216759,0.07875,0.39942,-0.17655,-0.0192,0.01,-0.0266,0.0790217,0.489327,-0.174877,-0.0140586,0.00806478,-0.0240588
4564,4.564,-0.239039,1.82501,-0.643131,0.589577,0.131943,0.31364,-0.253883,1.83133,-0.646383,0.604985,0.132608,0.314893,1.31336,-0.490438,0.280125,-1.3823,-0.0607375,-0.101578,-2.66676,35.6096,0.0419994,12.7071,1.6731,-4.98546,-0.249121,1.82916,-0.645295,0.600247,0.132432,0.314463,-12.6062,-52.7202,13.4395,3.19993,1.7075,-0.226361,-12.6142,-51.6652,14.2835,3.55806,1.85502,-0.220464,0.06489,0.52857,-0.1243,-0.023,0.01,-0.0222,0.0735687,0.50447,-0.155361,-0.0175088,0.00881152,-0.0233415
4565,4.565,-0.237747,1.82446,-0.642849,0.588206,0.131879,0.313531,-0.25257,1.83082,-0.646109,0.603607,0.132546,0.314791,1.30463,-0.527962,0.271399,-1.36136,-0.0617847,-0.103673,-7.89461,-27.4831,-7.52269,19.813,-0.673694,-2.49135,-0.247814,1.82863,-0.645019,0.598866,0.132369,0.314358,-12.8018,-52.6722,13.0769,2.94684,1.61532,-0.215097,-12.6866,-52.0538,13.8179,3.32221,1.76253,-0.218393,0.03276,0.7056,-0.18645,-0.0094,0.0106,-0.0214,0.0578219,0.58208,-0.167357,-0.0143799,0.00950164,-0.0225923
4566,4.566,-0.236457,1.82391,-0.642565,0.586837,0.131816,0.313422,-0.251255,1.83029,-0.645822,0.60222,0.132487,0.314688,1.30987,-0.536689,0.296706,-1.39068,-0.0575959,-0.102625,3.43312,-11.302,20.7996,-22.5752,3.52116,0.561347,-0.24651,1.8281,-0.644741,0.597487,0.132306,0.314253,-12.704,-52.6243,12.9802,2.8456,1.64989,-0.27142,-12.6933,-52.2739,13.4947,3.1383,1.71906,-0.238855,0.05733,0.42903,-0.17215,-0.0276,0.0116,-0.0218,0.0576321,0.523023,-0.169207,-0.0194811,0.0103113,-0.0222866
4567,4.567,-0.235169,1.82335,-0.642281,0.585469,0.131752,0.313312,-0.249941,1.82977,-0.64553,0.600843,0.132427,0.314585,1.31947,-0.503527,0.290597,-1.38021,-0.0596903,-0.102625,8.75268,27.0563,-2.41408,5.93451,-1.32337,0.0770743,-0.245207,1.82757,-0.644463,0.596108,0.132243,0.314148,-12.5085,-51.9053,13.367,2.73424,1.69598,-0.316478,-12.622,-52.1317,13.4454,2.98239,1.71016,-0.268807,0.063,0.49455,-0.11,-0.0242,0.0132,-0.022,0.0597034,0.512036,-0.146361,-0.021302,0.011426,-0.022176
4568,4.568,-0.233883,1.8228,-0.641996,0.584103,0.131688,0.313202,-0.248634,1.82925,-0.645245,0.599465,0.132367,0.314482,1.30725,-0.537561,0.283616,-1.37078,-0.0596903,-0.10472,-9.33807,-25.6461,-6.35422,8.94556,-0.181701,-1.79625,-0.243906,1.82703,-0.644184,0.594732,0.13218,0.314041,-12.3618,-50.9465,13.9229,2.80511,1.56923,-0.102451,-12.5216,-51.6744,13.6297,2.91398,1.65578,-0.204615,0.06552,0.70245,-0.165,-0.0132,0.013,-0.0228,0.0619478,0.585511,-0.153553,-0.0181757,0.0120333,-0.0224168
4569,4.569,-0.232599,1.82224,-0.64171,0.582738,0.131624,0.313091,-0.24733,1.82871,-0.644949,0.598088,0.132308,0.314374,1.2994,-0.54367,0.301069,-1.37392,-0.0575959,-0.108909,-8.05775,-8.79119,14.1845,-1.482,1.78188,-3.86029,-0.242607,1.82649,-0.643904,0.593356,0.132117,0.313935,-12.6062,-49.7481,14.6964,2.96709,1.47704,-0.170039,-12.5543,-50.9311,14.0413,2.93447,1.58681,-0.191273,0.08379,0.41013,-0.1408,-0.024,0.0136,-0.019,0.0703761,0.517837,-0.148632,-0.0204231,0.0126379,-0.0210984
4570,4.57,-0.231317,1.82168,-0.641423,0.581374,0.13156,0.31298,-0.246023,1.82818,-0.644661,0.59671,0.132249,0.314266,1.30551,-0.516617,0.27838,-1.39068,-0.0575959,-0.107861,4.16357,22.1312,-17.6264,-14.6581,0.244657,0.373387,-0.24131,1.82595,-0.643623,0.591982,0.132054,0.313828,-13.0951,-48.6456,15.5666,3.12907,1.64989,-0.192568,-12.763,-50.0492,14.6299,3.00956,1.61115,-0.191773,0.03654,0.46305,-0.1265,-0.0268,0.0144,-0.0162,0.0573198,0.496696,-0.140092,-0.0228838,0.0133178,-0.0192082
4571,4.571,-0.230036,1.82112,-0.641136,0.580012,0.131496,0.312868,-0.244718,1.82765,-0.644381,0.59534,0.13219,0.314159,1.30202,-0.545415,0.279253,-1.36764,-0.0596903,-0.106814,-2.43971,-21.8052,-1.66731,17.8625,-1.77324,0.954682,-0.240014,1.82541,-0.643341,0.590609,0.13199,0.31372,-13.5351,-47.0157,16.4368,3.46315,1.7536,-0.102451,-13.0609,-48.8786,15.3271,3.18459,1.66612,-0.157306,0.03276,0.68481,-0.20515,-0.0214,0.0154,-0.0192,0.0478429,0.569284,-0.165196,-0.0223112,0.0141213,-0.0192051
4572,4.572,-0.228758,1.82055,-0.640847,0.578651,0.131432,0.312755,-0.243416,1.8271,-0.644089,0.593968,0.132129,0.314051,1.30725,-0.552397,0.295833,-1.35717,-0.0607375,-0.107861,4.18209,-9.01668,14.0751,11.4867,-1.14688,-0.772334,-0.238721,1.82486,-0.643059,0.589238,0.131927,0.313611,-14.024,-46.057,17.2103,3.83772,1.84578,-0.192568,-13.4326,-47.7898,16.0538,3.43661,1.73544,-0.170913,0.09072,0.4095,-0.1518,-0.0138,0.0134,-0.0192,0.0643879,0.507628,-0.160027,-0.019027,0.013843,-0.0192031
4573,4.573,-0.227481,1.81999,-0.640558,0.577291,0.131367,0.312642,-0.242118,1.82655,-0.643801,0.592583,0.132069,0.31394,1.30202,-0.527089,0.281871,-1.39801,-0.0607375,-0.11205,-3.94286,20.5945,-10.113,-33.656,-0.15747,-3.7197,-0.23743,1.82432,-0.642776,0.587868,0.131863,0.313503,-14.3662,-45.1941,17.8388,4.1718,1.96101,-0.12498,-13.7928,-46.7882,16.7425,3.7203,1.82248,-0.153189,0.0882,0.39438,-0.1364,-0.0216,0.0126,-0.017,0.0735762,0.463929,-0.15091,-0.0200198,0.0133633,-0.018353
4574,4.574,-0.226207,1.81942,-0.640269,0.575933,0.131303,0.312529,-0.240819,1.82601,-0.643519,0.591211,0.132006,0.313832,1.29852,-0.554142,0.279253,-1.37602,-0.0628319,-0.107861,-3.55275,-20.5105,-3.64707,14.3507,-1.82845,3.10293,-0.23614,1.82376,-0.642493,0.586499,0.1318,0.313393,-14.5618,-44.8585,18.2738,4.36415,2.04167,-0.12498,-14.0896,-46.0436,17.3334,3.96874,1.90706,-0.142304,0.03969,0.68985,-0.1804,-0.017,0.0122,-0.0188,0.0605006,0.551105,-0.162289,-0.0188546,0.0129144,-0.0185255
4575,4.575,-0.224934,1.81884,-0.639978,0.574576,0.131239,0.312415,-0.239525,1.82545,-0.643233,0.589834,0.131943,0.313721,1.28543,-0.567232,0.286234,-1.3645,-0.0638791,-0.11205,-11.7805,-14.1088,5.52201,11.9079,-1.15447,-3.18762,-0.234853,1.82321,-0.642208,0.585131,0.131736,0.313283,-13.9262,-44.9065,18.2013,4.46539,2.14538,-0.170039,-14.0265,-45.6048,17.6683,4.16038,1.99902,-0.153006,0.02583,0.39816,-0.1551,0.0036,0.0124,-0.0158,0.0471223,0.492088,-0.159515,-0.01019,0.0127159,-0.0174738
4576,4.576,-0.223664,1.81827,-0.639687,0.573221,0.131174,0.312301,-0.23823,1.8249,-0.64296,0.588453,0.13188,0.313609,1.29329,-0.535816,0.266163,-1.38021,-0.0649262,-0.11205,5.15812,25.1653,-16.5573,-11.9162,-1.06193,-0.437668,-0.233567,1.82266,-0.641923,0.583765,0.131672,0.313173,-13.4862,-45.5297,17.9354,4.60712,2.12233,-0.0799221,-13.8181,-45.5758,17.7714,4.33276,2.0466,-0.124805,0.07371,0.38997,-0.19195,-0.0128,0.011,-0.015,0.0573817,0.452684,-0.172031,-0.0111971,0.0120538,-0.0165192
4577,4.577,-0.222395,1.81769,-0.639395,0.571866,0.131109,0.312186,-0.236939,1.82435,-0.64269,0.587082,0.131815,0.313495,1.29416,-0.565487,0.272271,-1.38125,-0.0649262,-0.115192,1.46107,-22.1415,2.99656,-2.53954,-0.145805,-2.77034,-0.232283,1.8221,-0.641637,0.582401,0.131608,0.313062,-13.3885,-46.1049,17.3795,4.50588,2.12233,-0.215097,-13.6523,-45.78,17.6202,4.39956,2.07583,-0.159646,0.08379,0.68355,-0.2321,-0.0184,0.0106,-0.014,0.0675718,0.541768,-0.19521,-0.0139765,0.0114928,-0.0155471
4578,4.578,-0.221128,1.81711,-0.639102,0.570514,0.131044,0.31207,-0.235649,1.82378,-0.642405,0.585709,0.131751,0.31338,1.29154,-0.575086,0.290597,-1.37183,-0.0628319,-0.113097,-2.05793,-11.3214,16.2212,7.78205,1.78681,1.42645,-0.231002,1.82154,-0.64135,0.581037,0.131544,0.312951,-13.3885,-47.4471,16.6543,4.41477,2.12233,-0.14751,-13.5505,-46.4233,17.2475,4.40543,2.09377,-0.154963,0.0819,0.40572,-0.1639,-0.0076,0.0088,-0.0084,0.0731006,0.489271,-0.183128,-0.011516,0.0104537,-0.0127893
4579,4.579,-0.219863,1.81653,-0.638809,0.569162,0.13098,0.311954,-0.23436,1.82322,-0.642122,0.584337,0.131686,0.313264,1.28805,-0.541925,0.277507,-1.3624,-0.0649262,-0.114145,-3.29394,27.0537,-9.06547,9.19923,-1.5615,-0.707559,-0.229722,1.82097,-0.641062,0.579675,0.13148,0.312839,-13.6329,-49.1249,15.8325,4.00982,2.03015,-0.170039,-13.5823,-47.4658,16.7015,4.25278,2.06922,-0.16078,0.03969,0.47754,-0.1573,-0.0042,0.0108,-0.0104,0.0602085,0.484745,-0.173162,-0.00869298,0.0105874,-0.0118673
4580,4.58,-0.2186,1.81594,-0.638515,0.567812,0.130915,0.311838,-0.233074,1.82266,-0.64184,0.582968,0.131621,0.313151,1.27671,-0.568977,0.282743,-1.37392,-0.0659734,-0.113097,-10.2393,-19.6237,3.27236,-8.67448,-1.11781,0.806265,-0.228444,1.82041,-0.640774,0.578315,0.131416,0.312726,-13.144,-50.6589,14.9381,3.60488,1.83426,-0.282684,-13.4132,-48.6979,16.0211,4.00277,1.97856,-0.207819,0.0189,0.65709,-0.1892,-0.0164,0.0084,-0.0148,0.0442688,0.551247,-0.179351,-0.0116669,0.00974332,-0.012999
4581,4.581,-0.217339,1.81536,-0.63822,0.566463,0.130849,0.31172,-0.231787,1.82209,-0.641547,0.581602,0.131556,0.31304,1.28456,-0.581195,0.29147,-1.37288,-0.0628319,-0.111003,5.36973,-13.2342,7.97776,-0.287614,2.55677,1.91753,-0.227168,1.81984,-0.640485,0.576955,0.131351,0.312613,-13.0462,-52.097,14.1405,3.2303,1.66141,-0.158774,-13.2716,-50.0095,15.2954,3.7047,1.85618,-0.188894,0.05859,0.4347,-0.143,-0.0218,0.0092,-0.0174,0.0497949,0.506275,-0.165324,-0.0155769,0.00953367,-0.0146972
4582,4.582,-0.21608,1.81477,-0.637924,0.565116,0.130784,0.311603,-0.230506,1.82153,-0.641261,0.580247,0.131492,0.312927,1.28369,-0.539307,0.282743,-1.33413,-0.0628319,-0.111003,-0.0155674,34.3195,-6.43309,33.3869,0.35105,0.263282,-0.225894,1.81927,-0.640195,0.575598,0.131287,0.3125,-12.4596,-53.1516,13.657,2.75449,1.64989,-0.12498,-12.9583,-51.222,14.6632,3.33804,1.77658,-0.164232,0.08568,0.53361,-0.17985,-0.006,0.011,-0.015,0.0636419,0.516823,-0.170929,-0.0118815,0.0100995,-0.014814
4583,4.583,-0.214823,1.81417,-0.637627,0.56377,0.130719,0.311485,-0.229225,1.82097,-0.640971,0.578883,0.131429,0.312817,1.2802,-0.572468,0.295833,-1.36659,-0.0638791,-0.108909,-3.01352,-23.896,10.4094,-23.4218,-0.855215,1.84298,-0.224621,1.8187,-0.639904,0.574241,0.131222,0.312385,-12.4107,-53.7748,13.1736,2.58239,1.7075,-0.192568,-12.747,-52.207,14.0884,3.04646,1.74993,-0.175166,0.07371,0.66591,-0.1892,-0.0246,0.0132,-0.0184,0.0675269,0.574351,-0.177979,-0.0167892,0.0112959,-0.0161977
4584,4.584,-0.213567,1.81358,-0.63733,0.562426,0.130654,0.311366,-0.227948,1.82039,-0.640666,0.577533,0.131366,0.312705,1.27496,-0.583813,0.308051,-1.35926,-0.0617847,-0.11205,-4.93084,-13.068,11.9691,3.10804,1.68941,-2.4572,-0.223351,1.81812,-0.639613,0.572886,0.131158,0.312271,-13.144,-54.0145,13.0769,2.43053,1.63837,-0.226361,-12.9002,-52.9045,13.6981,2.80879,1.70688,-0.194921,0.04095,0.46557,-0.12155,-0.0366,0.0114,-0.019,0.0572717,0.532376,-0.156205,-0.0244336,0.0113361,-0.0172791
4585,4.585,-0.212314,1.81298,-0.637032,0.561082,0.130588,0.311247,-0.226672,1.81983,-0.640366,0.576194,0.131303,0.312592,1.26798,-0.544543,0.300197,-1.31737,-0.0617847,-0.114145,-6.69978,32.0838,-5.13223,36.5633,0.23196,-2.14421,-0.222083,1.81754,-0.639321,0.571532,0.131093,0.312156,-13.144,-53.9186,13.3911,2.54189,1.56923,-0.248891,-12.9943,-53.2958,13.5797,2.7058,1.65376,-0.215746,0.03906,0.61236,-0.14135,-0.0204,0.0128,-0.0168,0.0502443,0.563239,-0.150473,-0.0228771,0.0119009,-0.0170942
4586,4.586,-0.211063,1.81238,-0.636733,0.559741,0.130523,0.311127,-0.225395,1.81926,-0.64006,0.574832,0.131243,0.312475,1.2802,-0.574213,0.310669,-1.36869,-0.0596903,-0.118333,9.61994,-21.1916,8.32948,-39.2471,1.83868,-3.90806,-0.220817,1.81696,-0.639028,0.570179,0.131028,0.31204,-12.5574,-53.2475,13.8021,2.70387,1.56923,-0.248891,-12.8257,-53.2772,13.6655,2.70506,1.62114,-0.228536,0.05481,0.63126,-0.1474,-0.029,0.0164,-0.0132,0.0520061,0.589486,-0.149287,-0.0252398,0.013637,-0.0155915
4587,4.587,-0.209813,1.81178,-0.636434,0.5584,0.130457,0.311007,-0.224124,1.81868,-0.639756,0.573487,0.131182,0.312357,1.27496,-0.589049,0.297579,-1.3467,-0.0628319,-0.116239,-3.19623,-15.708,-10.149,13.583,-2.45779,1.27024,-0.219552,1.81638,-0.638734,0.568828,0.130963,0.311924,-12.9485,-52.7681,14.4064,3.03795,1.61532,-0.260155,-12.8731,-53.0807,13.9514,2.83351,1.6189,-0.240737,0.08694,0.42336,-0.1199,-0.0304,0.0162,-0.0106,0.065486,0.525383,-0.137948,-0.0272309,0.014626,-0.0136655
4588,4.588,-0.208566,1.81117,-0.636133,0.557061,0.130391,0.310886,-0.222855,1.81811,-0.63946,0.572141,0.13112,0.312241,1.2706,-0.565487,0.294961,-1.33937,-0.0617847,-0.116239,-4.20308,18.1701,-3.65202,8.18888,0.565954,0.174407,-0.21829,1.81579,-0.63844,0.567479,0.130898,0.311807,-12.3618,-51.7135,15.3249,3.21005,1.81121,-0.14751,-12.6758,-52.5532,14.4814,2.97881,1.69311,-0.204763,0.07875,0.67725,-0.18865,-0.0188,0.0138,-0.0144,0.0706042,0.583984,-0.157512,-0.0239777,0.0143073,-0.0139489
4589,4.589,-0.20732,1.81057,-0.635832,0.555723,0.130325,0.310765,-0.221591,1.81753,-0.639153,0.570786,0.131056,0.312128,1.25489,-0.589049,0.310669,-1.34774,-0.0638791,-0.108909,-14.1283,-17.832,13.0498,-6.10296,-1.72912,6.34785,-0.217029,1.8152,-0.638144,0.56613,0.130833,0.31169,-12.1174,-50.611,16.2918,3.6555,1.92644,-0.102451,-12.4603,-51.8037,15.1799,3.23992,1.78314,-0.165284,0.04788,0.51093,-0.1518,-0.0148,0.0132,-0.0164,0.0618356,0.555795,-0.155308,-0.0204363,0.01388,-0.0148947
4590,4.59,-0.206077,1.80996,-0.635531,0.554387,0.130259,0.310644,-0.220322,1.81694,-0.638854,0.569437,0.130992,0.312013,1.26711,-0.585558,0.292343,-1.3467,-0.0638791,-0.114145,8.59998,0.562999,-14.018,0.0654622,-0.237413,-3.6455,-0.21577,1.81461,-0.637848,0.564783,0.130768,0.311572,-12.5085,-49.7481,17.1619,3.9997,1.94949,-0.282684,-12.4789,-51.0105,15.9447,3.5331,1.84733,-0.210585,0.06363,0.4032,-0.14465,-0.0216,0.012,-0.0196,0.062528,0.496913,-0.151195,-0.0208853,0.0131546,-0.0167103
4591,4.591,-0.204835,1.80934,-0.635228,0.553052,0.130193,0.310521,-0.219058,1.81637,-0.63856,0.568081,0.130927,0.311896,1.2706,-0.574213,0.290597,-1.35717,-0.0638791,-0.116239,4.19218,9.86429,-3.4304,-9.02516,-0.0325974,-2.30737,-0.214514,1.81402,-0.637552,0.563438,0.130702,0.311454,-12.6062,-48.4538,18.0563,4.37427,1.96101,-0.170039,-12.528,-50.024,16.7595,3.85768,1.8912,-0.19494,0.07938,0.72009,-0.19305,-0.011,0.0114,-0.0152,0.0690307,0.58303,-0.167346,-0.0170709,0.0124775,-0.0161275
4592,4.592,-0.203596,1.80873,-0.634925,0.551719,0.130127,0.310399,-0.217799,1.81577,-0.638261,0.566728,0.130862,0.311778,1.26624,-0.607375,0.296706,-1.34879,-0.0649262,-0.120428,-3.18863,-27.2537,4.79892,5.98814,-0.90789,-3.93047,-0.213259,1.81342,-0.637254,0.562094,0.130637,0.311335,-13.1929,-48.0703,18.6848,4.69823,2.07624,-0.113716,-12.7846,-49.2701,17.5024,4.18202,1.9626,-0.163598,0.12726,0.47502,-0.16225,-0.0094,0.0118,-0.016,0.0914996,0.541352,-0.165379,-0.0141109,0.0122161,-0.0160783
4593,4.593,-0.202358,1.80811,-0.634621,0.550386,0.130061,0.310275,-0.216543,1.81517,-0.637977,0.565374,0.130795,0.311661,1.25402,-0.582067,0.279253,-1.35193,-0.0670206,-0.119381,-10.9776,18.0905,-14.398,-1.88806,-1.93148,0.363752,-0.212006,1.81283,-0.636956,0.560751,0.130572,0.311216,-13.0951,-47.7827,19.0473,4.9412,2.0532,-0.158774,-12.9044,-48.6962,18.0986,4.47497,1.99756,-0.161736,0.05985,0.36414,-0.2123,-0.009,0.0094,-0.016,0.079287,0.472972,-0.183485,-0.0121388,0.0111294,-0.0160481
4594,4.594,-0.201122,1.80749,-0.634316,0.549056,0.129995,0.310152,-0.215284,1.81458,-0.637693,0.564015,0.13073,0.311541,1.25402,-0.605629,0.287979,-1.3645,-0.0659734,-0.120428,-1.50726,-17.843,5.55157,-11.1002,0.638217,-0.853471,-0.210755,1.81223,-0.636657,0.559409,0.130506,0.311096,-13.0951,-47.8306,19.2165,4.92095,2.17995,-0.305213,-12.978,-48.3622,18.53,4.64706,2.06794,-0.2171,0.05418,0.69237,-0.2321,-0.0102,0.013,-0.0144,0.069599,0.557631,-0.202244,-0.0113907,0.0118512,-0.0154122
4595,4.595,-0.199889,1.80687,-0.634011,0.547726,0.129928,0.310027,-0.214026,1.81397,-0.637398,0.562668,0.130663,0.31142,1.261,-0.621337,0.294088,-1.33099,-0.0670206,-0.122522,5.81581,-16.0011,6.03216,27.3852,-0.815786,-1.92401,-0.209506,1.81162,-0.636357,0.558069,0.13044,0.310976,-13.2418,-48.3579,19.2407,4.9412,2.21452,-0.12498,-13.0798,-48.3605,18.8042,4.76056,2.1245,-0.181554,0.06678,0.40383,-0.1683,0.001,0.0098,-0.0118,0.0685112,0.498284,-0.189146,-0.00660948,0.0110597,-0.0140183
4596,4.596,-0.198657,1.80624,-0.633705,0.546398,0.129862,0.309903,-0.212773,1.81337,-0.637111,0.561312,0.130597,0.311302,1.25489,-0.579449,0.283616,-1.35298,-0.0659734,-0.117286,-4.47139,33.9396,-8.20591,-15.2117,0.791405,4.2529,-0.208259,1.81102,-0.636057,0.55673,0.130374,0.310855,-13.0951,-49.029,18.854,4.7286,2.08777,-0.203832,-13.0857,-48.6185,18.8234,4.74823,2.11032,-0.19015,0.0945,0.45927,-0.1925,-0.0072,0.01,-0.017,0.0785395,0.48323,-0.19044,-0.00683735,0.0106508,-0.0151689
4597,4.597,-0.197427,1.80562,-0.633398,0.545072,0.129795,0.309777,-0.211524,1.81277,-0.636821,0.559967,0.130531,0.311185,1.24966,-0.608247,0.294088,-1.34879,-0.0649262,-0.117286,-5.13101,-20.1839,7.90745,1.52506,1.01208,0.583934,-0.207014,1.81041,-0.635756,0.555393,0.130309,0.310734,-12.8507,-50.0837,18.4189,4.3439,1.99558,-0.181303,-12.995,-49.1839,18.6673,4.59221,2.06605,-0.186737,0.09828,0.63441,-0.20845,-0.0176,0.0114,-0.0198,0.0861568,0.541565,-0.19739,-0.0109903,0.0109399,-0.0169559
4598,4.598,-0.196199,1.80499,-0.63309,0.543747,0.129728,0.309652,-0.210275,1.81216,-0.63653,0.558628,0.130467,0.311069,1.24267,-0.619592,0.287979,-1.32785,-0.0638791,-0.116239,-6.72726,-12.5583,-4.18421,18.2777,1.04238,0.98359,-0.205771,1.8098,-0.635454,0.554057,0.130243,0.310612,-12.9485,-51.4259,17.6696,3.89846,1.99558,-0.226361,-12.9771,-50.049,18.2823,4.32451,2.03886,-0.202027,0.06552,0.41706,-0.17325,-0.0062,0.0138,-0.023,0.0781937,0.493523,-0.188075,-0.00914188,0.0120435,-0.0192881
4599,4.599,-0.194973,1.80436,-0.632782,0.542423,0.129661,0.309525,-0.209021,1.81157,-0.636244,0.557282,0.130403,0.310951,1.25576,-0.586431,0.283616,-1.34565,-0.0628319,-0.120428,10.369,26.8838,-4.33873,-12.8485,1.04654,-3.47861,-0.20453,1.80919,-0.635151,0.552723,0.130177,0.31049,-13.3396,-52.6243,17.0169,3.57451,1.76512,-0.14751,-13.1169,-51.0427,17.794,4.03511,1.93323,-0.18099,0.04347,0.64953,-0.2189,-0.0114,0.0132,-0.0188,0.0647949,0.553721,-0.199969,-0.0100132,0.0124898,-0.0190998
4600,4.6,-0.193749,1.80372,-0.632472,0.5411,0.129595,0.309398,-0.207776,1.81095,-0.635948,0.555948,0.130339,0.310831,1.24442,-0.623083,0.302815,-1.33622,-0.0628319,-0.121475,-8.3633,-27.9283,15.9669,6.3666,0.143692,-1.38104,-0.203291,1.80857,-0.634848,0.551389,0.13011,0.310367,-13.2907,-53.631,16.2192,3.17968,1.78817,-0.316478,-13.184,-52.0415,17.1864,3.70503,1.87725,-0.233271,0.06426,0.54495,-0.1969,-0.025,0.0162,-0.0198,0.0645885,0.550337,-0.198785,-0.0157962,0.0139214,-0.01937
4601,4.601,-0.192527,1.80308,-0.632163,0.539779,0.129528,0.309271,-0.206528,1.81034,-0.635645,0.554621,0.130277,0.31071,1.25402,-0.606502,0.301069,-1.31423,-0.0596903,-0.122522,7.133,10.4694,0.686603,19.8459,2.72997,-1.09303,-0.202054,1.80795,-0.634544,0.550058,0.130044,0.310243,-13.584,-54.6856,15.6391,2.98733,1.78817,-0.102451,-13.3383,-53.0617,16.5893,3.42809,1.84288,-0.182791,0.08253,0.42084,-0.1441,-0.0184,0.0174,-0.0166,0.0715116,0.500368,-0.177684,-0.0168009,0.0152637,-0.0183011
4602,4.602,-0.191307,1.80245,-0.631852,0.53846,0.12946,0.309143,-0.205288,1.80974,-0.635347,0.553281,0.130215,0.310589,1.23744,-0.608247,0.297579,-1.33622,-0.0628319,-0.121475,-13.3247,-0.0682103,-2.91711,-16.2468,-2.33541,0.753338,-0.200819,1.80733,-0.634239,0.548727,0.129978,0.31012,-12.8507,-55.3567,15.204,2.8861,1.63837,-0.248891,-13.1502,-53.9473,16.0548,3.21895,1.76396,-0.208297,0.04473,0.74655,-0.18315,-0.0154,0.0202,-0.0192,0.0611774,0.595362,-0.179793,-0.0162603,0.0171685,-0.018648
